output_name,mut_rate,num_mut_leaves,sample_size,freq_mut_outcome
run1312,0.325,100,100,1.0
run1313,0.325,97,100,0.97
run1314,0.325,87,100,0.87
run1315,0.325,100,100,1.0
run1316,0.325,77,100,0.77
run1317,0.325,96,100,0.96
run1318,0.325,60,100,0.6
run1319,0.325,98,100,0.98
run131,0.025,6,100,0.06
run1320,0.325,87,100,0.87
run1321,0.325,100,100,1.0
run1322,0.325,96,100,0.96
run1323,0.325,100,100,1.0
run1324,0.325,100,100,1.0
run1325,0.325,96,100,0.96
run1326,0.325,100,100,1.0
run1327,0.325,100,100,1.0
run1328,0.325,100,100,1.0
run1329,0.325,100,100,1.0
run132,0.025,64,100,0.64
run1330,0.325,100,100,1.0
run1331,0.325,100,100,1.0
run1332,0.325,98,100,0.98
run1333,0.325,100,100,1.0
run1334,0.325,88,100,0.88
run1335,0.325,100,100,1.0
run1336,0.325,84,100,0.84
run1337,0.325,100,100,1.0
run1338,0.325,100,100,1.0
run1339,0.325,80,100,0.8
run133,0.025,8,100,0.08
run1340,0.325,98,100,0.98
run1341,0.325,76,100,0.76
run1342,0.325,96,100,0.96
run1343,0.325,100,100,1.0
run1344,0.325,100,100,1.0
run1345,0.325,79,100,0.79
run1346,0.325,98,100,0.98
run1347,0.325,94,100,0.94
run1348,0.325,90,100,0.9
run1349,0.325,94,100,0.94
run134,0.025,0,100,0.0
run1350,0.325,100,100,1.0
run1351,0.325,85,100,0.85
run1352,0.325,100,100,1.0
run1353,0.325,97,100,0.97
run1354,0.325,93,100,0.93
run1355,0.325,100,100,1.0
run1356,0.325,85,100,0.85
run1357,0.325,100,100,1.0
run1358,0.325,100,100,1.0
run1359,0.325,95,100,0.95
run135,0.025,71,100,0.71
run1360,0.325,100,100,1.0
run1361,0.325,93,100,0.93
run1362,0.325,96,100,0.96
run1363,0.325,97,100,0.97
run1364,0.325,94,100,0.94
run1365,0.325,99,100,0.99
run1366,0.325,100,100,1.0
run1367,0.325,100,100,1.0
run1368,0.325,97,100,0.97
run1369,0.325,100,100,1.0
run136,0.025,12,100,0.12
run1370,0.325,88,100,0.88
run1371,0.325,100,100,1.0
run1372,0.325,100,100,1.0
run1373,0.325,83,100,0.83
run1374,0.325,100,100,1.0
run1375,0.325,100,100,1.0
run1376,0.325,83,100,0.83
run1377,0.325,89,100,0.89
run1378,0.325,100,100,1.0
run1379,0.325,93,100,0.93
run137,0.025,0,100,0.0
run1380,0.325,100,100,1.0
run1381,0.325,92,100,0.92
run1382,0.325,100,100,1.0
run1383,0.325,100,100,1.0
run1384,0.325,100,100,1.0
run1385,0.325,99,100,0.99
run1386,0.325,95,100,0.95
run1387,0.325,95,100,0.95
run1388,0.325,96,100,0.96
run1389,0.325,100,100,1.0
run138,0.025,4,100,0.04
run1390,0.325,100,100,1.0
run1391,0.325,100,100,1.0
run1392,0.325,100,100,1.0
run1393,0.325,87,100,0.87
run1394,0.325,96,100,0.96
run1395,0.325,100,100,1.0
run1396,0.325,79,100,0.79
run1397,0.325,100,100,1.0
run1398,0.325,87,100,0.87
run1399,0.325,87,100,0.87
run139,0.025,38,100,0.38
run13,0.01,28,100,0.28
run1400,0.35,94,100,0.94
run1401,0.35,100,100,1.0
run1402,0.35,100,100,1.0
run1403,0.35,100,100,1.0
run1404,0.35,98,100,0.98
run1405,0.35,91,100,0.91
run1406,0.35,100,100,1.0
run1407,0.35,100,100,1.0
run1408,0.35,100,100,1.0
run1409,0.35,100,100,1.0
run140,0.025,25,100,0.25
run1410,0.35,100,100,1.0
run1411,0.35,96,100,0.96
run1412,0.35,100,100,1.0
run1413,0.35,100,100,1.0
run1414,0.35,94,100,0.94
run1415,0.35,100,100,1.0
run1416,0.35,77,100,0.77
run1417,0.35,95,100,0.95
run1418,0.35,98,100,0.98
run1419,0.35,97,100,0.97
run141,0.025,52,100,0.52
run1420,0.35,100,100,1.0
run1421,0.35,82,100,0.82
run1422,0.35,100,100,1.0
run1423,0.35,83,100,0.83
run1424,0.35,97,100,0.97
run1425,0.35,99,100,0.99
run1426,0.35,77,100,0.77
run1427,0.35,100,100,1.0
run1428,0.35,97,100,0.97
run1429,0.35,100,100,1.0
run142,0.025,3,100,0.03
run1430,0.35,89,100,0.89
run1431,0.35,95,100,0.95
run1432,0.35,99,100,0.99
run1433,0.35,85,100,0.85
run1434,0.35,100,100,1.0
run1435,0.35,94,100,0.94
run1436,0.35,99,100,0.99
run1437,0.35,100,100,1.0
run1438,0.35,100,100,1.0
run1439,0.35,96,100,0.96
run143,0.025,27,100,0.27
run1440,0.35,100,100,1.0
run1441,0.35,100,100,1.0
run1442,0.35,100,100,1.0
run1443,0.35,89,100,0.89
run1444,0.35,90,100,0.9
run1445,0.35,100,100,1.0
run1446,0.35,93,100,0.93
run1447,0.35,83,100,0.83
run1448,0.35,96,100,0.96
run1449,0.35,82,100,0.82
run144,0.025,20,100,0.2
run1450,0.35,91,100,0.91
run1451,0.35,100,100,1.0
run1452,0.35,92,100,0.92
run1453,0.35,96,100,0.96
run1454,0.35,100,100,1.0
run1455,0.35,87,100,0.87
run1456,0.35,100,100,1.0
run1457,0.35,100,100,1.0
run1458,0.35,97,100,0.97
run1459,0.35,100,100,1.0
run145,0.025,24,100,0.24
run1460,0.35,100,100,1.0
run1461,0.35,100,100,1.0
run1462,0.35,91,100,0.91
run1463,0.35,93,100,0.93
run1464,0.35,100,100,1.0
run1465,0.35,88,100,0.88
run1466,0.35,100,100,1.0
run1467,0.35,99,100,0.99
run1468,0.35,100,100,1.0
run1469,0.35,83,100,0.83
run146,0.025,0,100,0.0
run1470,0.35,100,100,1.0
run1471,0.35,98,100,0.98
run1472,0.35,100,100,1.0
run1473,0.35,99,100,0.99
run1474,0.35,100,100,1.0
run1475,0.35,100,100,1.0
run1476,0.35,100,100,1.0
run1477,0.35,81,100,0.81
run1478,0.35,93,100,0.93
run1479,0.35,89,100,0.89
run147,0.025,16,100,0.16
run1480,0.35,100,100,1.0
run1481,0.35,100,100,1.0
run1482,0.35,86,100,0.86
run1483,0.35,100,100,1.0
run1484,0.35,94,100,0.94
run1485,0.35,98,100,0.98
run1486,0.35,100,100,1.0
run1487,0.35,65,100,0.65
run1488,0.35,81,100,0.81
run1489,0.35,100,100,1.0
run148,0.025,0,100,0.0
run1490,0.35,97,100,0.97
run1491,0.35,83,100,0.83
run1492,0.35,96,100,0.96
run1493,0.35,100,100,1.0
run1494,0.35,100,100,1.0
run1495,0.35,100,100,1.0
run1496,0.35,98,100,0.98
run1497,0.35,100,100,1.0
run1498,0.35,98,100,0.98
run1499,0.35,94,100,0.94
run149,0.025,16,100,0.16
run14,0.01,19,100,0.19
run1500,0.375,100,100,1.0
run1501,0.375,97,100,0.97
run1502,0.375,91,100,0.91
run1503,0.375,100,100,1.0
run1504,0.375,94,100,0.94
run1505,0.375,99,100,0.99
run1506,0.375,90,100,0.9
run1507,0.375,96,100,0.96
run1508,0.375,94,100,0.94
run1509,0.375,87,100,0.87
